epoch,address,received_reward,rewarded_gnk,parent_entry_weight,parent_confirmation_weight,parent_voting_power,kimi_entry_weight,kimi_subgroup_confirmation_weight,kimi_voting_power,kimi_confirmed_node_weight,kimi_preserved_node_weight,kimi_node_weight_sum,kimi_node_count,kimi_preserved_node_count,qwen_entry_weight,qwen_subgroup_confirmation_weight,qwen_voting_power,qwen_confirmed_node_weight,qwen_preserved_node_weight,qwen_node_weight_sum,qwen_node_count,qwen_preserved_node_count,confirmed_node_weight_total,preserved_node_weight_total,node_weight_sum_total,model_entry_weight_sum,model_subgroup_confirmation_weight_sum,model_voting_power_sum,parent_minus_model_entry_weight_sum,notes
266,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,yes,1498087.329133,1763,2073,0,,,,,,,,,5770,2073,1763,0,5770,5770,1,1,0,5770,5770,5770,2073,1763,-4007,
266,gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,yes,843789.403192,1006,1168,0,,,,,,,,,3294,1183,1006,0,3294,3294,1,1,0,3294,3294,3294,1183,1006,-2288,
266,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,yes,1472595.202148,1796,2038,0,,,,,,,,,5880,2112,1796,5880,0,5880,1,0,5880,0,5880,5880,2112,1796,-4084,
266,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,yes,419770.357681,839,581,0,,,,,,,,,2746,986,839,2746,0,2746,1,0,2746,0,2746,2746,986,839,-1907,
266,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,no,0.000000,2009,0,0,,,,,,,,,6578,2363,2009,0,6578,6578,1,1,0,6578,6578,6578,2363,2009,-4569,
266,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,yes,441863.534401,520,611,0,,,,,,,,,1701,611,520,1701,0,1701,1,0,1701,0,1701,1701,611,520,-1181,
266,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,yes,169947.513231,200,235,0,,,,,,,,,656,235,200,656,0,656,1,0,656,0,656,656,235,200,-456,
266,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,yes,2148136.567242,2528,2973,0,,,,,,,,,8275,2973,2528,4178,4097,8275,2,1,4178,4097,8275,8275,2973,2528,-5747,
266,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,yes,712929.818004,839,986,0,,,,,,,,,2746,986,839,2746,0,2746,1,0,2746,0,2746,2746,986,839,-1907,
266,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,yes,736722.469857,867,1020,0,,,,,,,,,2841,1020,867,0,2841,2841,1,1,0,2841,2841,2841,1020,867,-1974,
266,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,yes,9303776.611842,11383,12881,0,,,,,,,,,37270,13391,11383,36234,1036,37270,6,1,36234,1036,37270,37270,13391,11383,-25887,
266,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,no,0.000000,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,not_in_parent_final_validation_weights; not_in_model_subgroups
